-399	560	99	14	-733
653	-11	-695	881	-941
7	-290	51	715	-806
627	772	131	-593	231
-903	-269	-161	-593	-627
208	-383	117	-775	-181
282	955	311	251	740
240	933	732	159	-799
-322	695	-883	863	728
399	806	-984	-418	-636
209	207	788	-42	986
-68	449	538	608	324
834	-606	-228	-590	-376
241	-473	-811	736	218
380	-927	-137	-167	-945
-855	731	-571	265	21
923	-774	-530	-199	970
-841	818	760	-556	-928
-262	371	-339	-297	-764
-36	-833	-939	628	508
-559	161	614	499	-532
-866	-272	498	-252	-213
-893	-156	887	-661	559
-565	-862	883	729	-604
-877	46	-35	-748	-397
612	-367	-226	-831	768
-421	994	-897	-554	-39
721	-950	-493	-762	-169
472	-543	920	-507	837
788	-714	-873	291	723
-555	-193	-305	883	365
-791	-407	-927	54	42
-595	-790	-245	-847	648
529	-622	633	-636	231
-292	119	-383	643	372
594	55	569	712	244
694	-129	-449	-184	388
251	-848	-785	-128	-19
106	-588	-289	-834	138
964	-939	-67	-903	897
-820	-375	-645	-432	322
-910	517	883	913	523
-627	-801	-803	766	-893
-534	41	203	656	-582
-799	955	-149	941	-664
867	294	-161	-603	-185
770	354	398	-563	-545
-822	899	-374	-700	125
-221	-872	-364	540	330
785	395	584	-833	927
469	25	269	-727	832
208	-556	301	666	979
433	-590	-18	-172	-147
831	-188	-394	424	566
688	934	-109	197	-85
544	-698	336	-999	143
439	440	674	727	341
-446	891	-785	993	420
-343	934	-325	947	449
-271	52	-505	543	-542
517	723	-632	-202	173
496	223	466	-208	-89
-418	454	953	402	-443
-159	413	528	116	-991
-36	-187	48	-255	95
985	-264	970	-63	218
220	981	925	-715	685
197	-550	-930	-884	714
21	-670	-742	-304	-706
286	321	-67	-826	-234
510	-760	-42	410	-114
950	205	453	365	-912
945	192	-701	-296	982
446	-72	129	554	177
314	65	-111	-687	443
518	-881	72	782	647
-918	-756	-307	283	880
-205	154	-233	360	732
501	-791	-842	-716	468
-135	-744	-539	293	-424
302	46	-921	963	255
-970	-616	808	-771	684
-538	-123	-657	580	880
-734	317	-749	954	-597
98	-708	448	611	-473
-885	-567	271	554	717
398	735	66	-99	238
-150	-814	599	961	-114
156	572	-666	-887	213
821	500	-885	381	544
17	571	713	-662	-857
-911	216	314	998	512
-946	-270	210	134	-66
-469	204	227	-518	757
-929	-729	504	918	-514
347	61	734	312	772
-900	880	275	437	124
419	-292	-974	-56	-530
-119	-973	477	980	-107
-898	398	-322	-410	-323
400	-823	-758	152	-331
-350	-339	10	977	311
703	-64	544	-461	904
991	-163	707	198	-840
-953	-838	398	269	401
862	334	-266	-763	48
-100	-984	-537	18	962
-156	710	793	753	-902
-384	558	-584	915	-782
856	-124	374	-32	-11
-381	36	642	-675	-301
-286	-921	-151	-229	-464
784	453	-851	-960	467
-32	215	-353	-772	-345
980	-790	21	323	249
-889	523	-518	389	773
-781	-43	-667	-160	-369
514	819	-751	-81	-575
270	-42	258	81	906
26	-582	559	510	964
-269	-761	-634	673	-213
647	852	-844	499	-311
-698	941	-611	419	-236
991	539	862	781	838
595	-883	596	403	-947
-674	-228	-898	914	-628
-4	-362	956	881	316
-401	460	324	205	-633
51	-742	-933	-300	-704
799	-236	45	95	-433
224	-567	-251	786	-50
93	54	-511	374	494
597	431	360	-786	-880
345	483	-817	-247	444
-510	-154	742	-193	-169
617	522	-426	260	-725
-796	-966	444	82	-59
755	748	475	699	275
-718	20	-647	-742	499
-70	209	372	-351	872
560	-673	-774	620	305
-313	-277	-822	831	100
-741	790	410	-557	-480
-737	-407	-412	-808	-308
231	-896	871	-430	-805
567	166	-462	611	-84
-334	628	-457	252	-985
766	314	51	415	-474
-399	-867	-949	-848	-452
-949	73	-447	511	-353
-892	-599	192	735	-429
452	-20	467	450	-933
-845	494	-358	964	354
-174	-623	-518	389	595
-382	-792	-543	404	-990
34	399	355	178	-141
-975	-163	-167	422	206
-654	-345	632	999	346
-298	-396	155	615	-83
763	-499	623	-25	-359
-935	-792	174	-352	-683
-717	606	54	-985	873
685	231	409	-461	461
474	278	631	345	125
-340	904	930	-990	635
-937	-640	649	930	943
77	379	406	-959	539
131	112	-741	579	757
-216	343	485	144	-832
-758	528	-984	571	-152
903	-944	-626	-248	-598
-39	-150	-425	938	454
-447	753	579	993	-921
-804	-150	646	-348	-700
593	931	245	-886	-875
-377	-903	864	-641	447
-502	-345	970	177	841
865	-822	-5	236	846
-349	769	-709	-323	-883
153	130	-389	-983	195
957	72	582	476	711
-350	809	-600	-144	-808
197	-879	-890	650	323
-554	-134	222	-430	-710
112	379	15	697	-294
-501	516	-493	560	-340
-599	632	949	-404	-426
-590	-777	-528	-232	986
-224	982	-289	-761	-483
164	613	825	990	-898
-976	-311	438	-975	-586
-342	-999	-422	539	132
566	-758	-836	-977	-195
226	888	-421	-516	-252
-839	279	800	-870	499
-574	-325	-47	896	-792
-274	528	627	-47	594
-13	-112	500	-578	-961
62	660	-859	-897	77
279	-318	-730	-367	-747
